county,age_band,vap,registered,voted_2024,reg_rate,turnout_rate,voted_of_vap,unreg,reg_not_voted
TYRRELL,18-24,130,161,78,123.8,48.4,60.0,0,83
TYRRELL,25-34,408,278,166,68.1,59.7,40.7,130,112
TYRRELL,35-44,452,313,218,69.2,69.6,48.2,139,95
TYRRELL,45-54,474,325,253,68.6,77.8,53.4,149,72
TYRRELL,55-64,351,391,357,111.4,91.3,101.7,0,34
TYRRELL,65-74,523,516,383,98.7,74.2,73.2,7,133
TYRRELL,75+,532,379,252,71.2,66.5,47.4,153,127
UNION,18-24,23789,23690,14884,99.6,62.8,62.6,99,8806
UNION,25-34,25021,26844,15939,107.3,59.4,63.7,0,10905
UNION,35-44,33515,27208,22262,81.2,81.8,66.4,6307,4946
UNION,45-54,38896,32924,28760,84.6,87.4,73.9,5972,4164
UNION,55-64,31475,33212,26610,105.5,80.1,84.5,0,6602
UNION,65-74,20564,22958,17984,111.6,78.3,87.5,0,4974
UNION,75+,13390,17236,11904,128.7,69.1,88.9,0,5332
VANCE,18-24,3630,2803,1454,77.2,51.9,40.1,827,1349
VANCE,25-34,5179,4254,2185,82.1,51.4,42.2,925,2069
VANCE,35-44,4595,3893,2438,84.7,62.6,53.1,702,1455
VANCE,45-54,4976,3842,3061,77.2,79.7,61.5,1134,781
VANCE,55-64,5619,4751,4041,84.6,85.1,71.9,868,710
VANCE,65-74,4901,4674,3857,95.4,82.5,78.7,227,817
VANCE,75+,3262,3849,2675,118.0,69.5,82.0,0,1174
WAKE,18-24,104796,94769,67197,90.4,70.9,64.1,10027,27572
WAKE,25-34,172434,163833,104527,95.0,63.8,60.6,8601,59306
WAKE,35-44,177818,149667,113308,84.2,75.7,63.7,28151,36359
WAKE,45-54,164529,140542,118246,85.4,84.1,71.9,23987,22296
WAKE,55-64,135977,130422,106550,95.9,81.7,78.4,5555,23872
WAKE,65-74,93134,98629,79640,105.9,80.7,85.5,0,18989
WAKE,75+,58786,76550,53158,130.2,69.4,90.4,0,23392
WARREN,18-24,1241,930,520,74.9,55.9,41.9,311,410
WARREN,25-34,1935,1598,872,82.6,54.6,45.1,337,726
WARREN,35-44,2012,1626,1119,80.8,68.8,55.6,386,507
WARREN,45-54,2068,1599,1258,77.3,78.7,60.8,469,341
WARREN,55-64,3015,2411,2166,80.0,89.8,71.8,604,245
WARREN,65-74,3014,2945,2429,97.7,82.5,80.6,69,516
WARREN,75+,2204,2362,1562,107.2,66.1,70.9,0,800
WASHINGTON,18-24,851,752,359,88.4,47.7,42.2,99,393
WASHINGTON,25-34,963,1057,524,109.8,49.6,54.4,0,533
WASHINGTON,35-44,1076,1003,592,93.2,59.0,55.0,73,411
WASHINGTON,45-54,1184,982,746,82.9,76.0,63.0,202,236
WASHINGTON,55-64,1644,1393,1177,84.7,84.5,71.6,251,216
WASHINGTON,65-74,1931,1684,1433,87.2,85.1,74.2,247,251
WASHINGTON,75+,1099,1342,941,122.1,70.1,85.6,0,401
WATAUGA,18-24,17338,11481,9140,66.2,79.6,52.7,5857,2341
WATAUGA,25-34,5305,8362,3513,157.6,42.0,66.2,0,4849
WATAUGA,35-44,5176,4741,3568,91.6,75.3,68.9,435,1173
WATAUGA,45-54,5148,4396,3667,85.4,83.4,71.2,752,729
WATAUGA,55-64,6045,4975,4359,82.3,87.6,72.1,1070,616
WATAUGA,65-74,5739,5492,4651,95.7,84.7,81.0,247,841
WATAUGA,75+,3696,4759,3225,128.8,67.8,87.3,0,1534
WAYNE,18-24,11516,7897,4359,68.6,55.2,37.9,3619,3538
WAYNE,25-34,16280,12391,6494,76.1,52.4,39.9,3889,5897
WAYNE,35-44,13888,11451,7310,82.5,63.8,52.6,2437,4141
WAYNE,45-54,13782,10763,8294,78.1,77.1,60.2,3019,2469
WAYNE,55-64,14910,12706,10763,85.2,84.7,72.2,2204,1943
WAYNE,65-74,12283,12299,10049,100.1,81.7,81.8,0,2250
WAYNE,75+,7979,9311,6376,116.7,68.5,79.9,0,2935
WILKES,18-24,4992,4062,2901,81.4,71.4,58.1,930,1161
WILKES,25-34,7353,6256,4184,85.1,66.9,56.9,1097,2072
WILKES,35-44,6958,5728,4470,82.3,78.0,64.2,1230,1258
WILKES,45-54,8737,6378,5600,73.0,87.8,64.1,2359,778
WILKES,55-64,9626,7915,6934,82.2,87.6,72.0,1711,981
WILKES,65-74,8615,8002,6819,92.9,85.2,79.2,613,1183
WILKES,75+,6495,6951,4864,107.0,70.0,74.9,0,2087
WILSON,18-24,6960,5434,3190,78.1,58.7,45.8,1526,2244
WILSON,25-34,9751,8696,4868,89.2,56.0,49.9,1055,3828
WILSON,35-44,9350,7950,5351,85.0,67.3,57.2,1400,2599
WILSON,45-54,9448,7620,6063,80.7,79.6,64.2,1828,1557
WILSON,55-64,10470,9212,7726,88.0,83.9,73.8,1258,1486
WILSON,65-74,9315,8740,7229,93.8,82.7,77.6,575,1511
WILSON,75+,6002,7199,4897,119.9,68.0,81.6,0,2302
YADKIN,18-24,3011,2359,1635,78.3,69.3,54.3,652,724
YADKIN,25-34,4453,3881,2662,87.2,68.6,59.8,572,1219
YADKIN,35-44,4000,3329,2482,83.2,74.6,62.0,671,847
YADKIN,45-54,4968,3428,3087,69.0,90.1,62.1,1540,341
YADKIN,55-64,5848,4823,4237,82.5,87.8,72.5,1025,586
YADKIN,65-74,4560,4197,3554,92.0,84.7,77.9,363,643
YADKIN,75+,3446,3636,2569,105.5,70.7,74.6,0,1067
YANCEY,18-24,1112,1106,786,99.5,71.1,70.7,6,320
YANCEY,25-34,2046,1863,1317,91.1,70.7,64.4,183,546
