district_type,district,base_trump,base_harris,base_total,base_margin,base_winner,sim_trump_raw,sim_harris_raw,sim_margin_raw,sim_winner_raw,sim_trump_blend,sim_harris_blend,sim_margin_blend,sim_winner_blend,flipped_raw,flipped_blend
cong_dist,1.0,541.1666666666667,704.6666666666666,1245.8333333333335,-13.12,Harris,544.1666666666667,708.6666666666666,-13.13,Harris,544.1666666666667,708.6666666666666,-13.13,Harris,False,False
cong_dist,2.0,2345.6666666666665,3502.133333333333,5847.799999999999,-19.78,Harris,2356.6,3519.133333333333,-19.79,Harris,2356.8,3518.9333333333334,-19.78,Harris,False,False
cong_dist,3.0,601.3333333333334,111.33333333333333,712.6666666666667,68.76,Trump,603.6666666666666,111.66666666666667,68.78,Trump,603.0,112.33333333333333,68.59,Trump,False,False
cong_dist,4.0,887.0,1361.3333333333335,2248.3333333333335,-21.1,Harris,888.6666666666667,1364.3333333333335,-21.11,Harris,888.6666666666667,1364.3333333333335,-21.11,Harris,False,False
cong_dist,5.0,773.3333333333333,763.6666666666666,1537.0,0.63,Trump,777.0,768.6666666666666,0.54,Trump,777.0,768.6666666666667,0.54,Trump,False,False
cong_dist,6.0,1371.0,1200.3333333333333,2571.333333333333,6.64,Trump,1377.6666666666667,1209.3333333333333,6.51,Trump,1377.3333333333335,1209.6666666666667,6.48,Trump,False,False
cong_dist,7.0,1149.0,460.3333333333333,1609.3333333333333,42.79,Trump,1156.3333333333333,463.33333333333337,42.79,Trump,1154.6666666666667,465.0,42.58,Trump,False,False
cong_dist,8.0,2393.6666666666665,2930.666666666667,5324.333333333334,-10.09,Harris,2406.6666666666665,2947.3333333333335,-10.1,Harris,2406.0,2948.0,-10.12,Harris,False,False
cong_dist,9.0,1200.3333333333333,1579.6666666666667,2780.0,-13.65,Harris,1205.6666666666667,1587.0,-13.65,Harris,1205.6666666666667,1587.0,-13.65,Harris,False,False
cong_dist,10.0,598.6666666666666,276.0,874.6666666666666,36.89,Trump,601.0,277.0,36.9,Trump,600.3333333333334,277.6666666666667,36.75,Trump,False,False
cong_dist,11.0,335.3333333333333,130.66666666666666,466.0,43.92,Trump,336.6666666666667,131.33333333333334,43.87,Trump,336.3333333333333,131.66666666666666,43.73,Trump,False,False
cong_dist,12.0,764.3333333333333,928.6666666666667,1693.0,-9.71,Harris,767.3333333333334,932.0,-9.69,Harris,767.0,932.3333333333334,-9.73,Harris,False,False
cong_dist,13.0,2349.333333333333,3189.8,5539.133333333333,-15.17,Harris,2360.6,3206.4666666666667,-15.19,Harris,2360.8,3206.2666666666664,-15.19,Harris,False,False
cong_dist,14.0,1535.0,1437.6666666666667,2972.666666666667,3.27,Trump,1541.0,1443.6666666666667,3.26,Trump,1540.3333333333333,1444.3333333333333,3.22,Trump,False,False
sldu_dist,13.0,1073.0,1681.4666666666667,2754.4666666666667,-22.09,Harris,1078.6,1690.4666666666667,-22.1,Harris,1078.8,1690.2666666666667,-22.08,Harris,False,False
sldu_dist,14.0,566.0,961.8,1527.8,-25.91,Harris,568.6,966.4666666666667,-25.92,Harris,568.8,966.2666666666667,-25.89,Harris,False,False
sldu_dist,15.0,378.3333333333333,505.3333333333333,883.6666666666666,-14.37,Harris,380.0,507.6666666666667,-14.38,Harris,380.0,507.6666666666667,-14.38,Harris,False,False
sldu_dist,16.0,600.0,1449.6666666666667,2049.666666666667,-41.45,Harris,601.3333333333334,1452.3333333333333,-41.44,Harris,601.3333333333334,1452.3333333333333,-41.44,Harris,False,False
sldu_dist,17.0,1107.0,2169.3333333333335,3276.3333333333335,-32.42,Harris,1111.3333333333335,2176.333333333333,-32.39,Harris,1111.3333333333335,2176.333333333333,-32.39,Harris,False,False
sldu_dist,18.0,378.3333333333333,505.3333333333333,883.6666666666666,-14.37,Harris,380.0,507.6666666666667,-14.38,Harris,380.0,507.6666666666667,-14.38,Harris,False,False
sldu_dist,26.0,859.0,466.6666666666667,1325.6666666666667,29.6,Trump,862.3333333333334,468.66666666666663,29.58,Trump,861.6666666666667,469.33333333333337,29.48,Trump,False,False
sldu_dist,27.0,859.0,466.6666666666667,1325.6666666666667,29.6,Trump,862.3333333333334,468.66666666666663,29.58,Trump,861.6666666666667,469.33333333333337,29.48,Trump,False,False
sldu_dist,34.0,1792.6666666666665,827.3333333333334,2620.0,36.84,Trump,1801.3333333333335,831.3333333333334,36.84,Trump,1799.0,833.6666666666666,36.67,Trump,False,False
sldu_dist,35.0,1792.6666666666665,827.3333333333334,2620.0,36.84,Trump,1801.3333333333335,831.3333333333334,36.84,Trump,1799.0,833.6666666666666,36.67,Trump,False,False
sldu_dist,37.0,781.3333333333334,946.0,1727.3333333333335,-9.53,Harris,786.0,951.3333333333334,-9.52,Harris,785.6666666666666,951.6666666666666,-9.55,Harris,False,False
