county_desc,precinct_abbrv,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two_more,pop_hispanic,pop_white_nonhisp,vap_total,vap_white,vap_black,vap_aian,vap_asian,vap_hispanic,vap_white_nonhisp,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_asian,pct_nonwhite,vap_pct
UNION,041,6417,4752,413,10,752,3,136,351,308,4703,4484,3402,318,5,480,181,3373,1665,0.7405,0.0644,0.048,0.1172,0.2595,0.6988
UNION,042,3284,2257,314,28,48,12,331,294,600,2175,2483,1786,237,23,37,377,1746,1027,0.6873,0.0956,0.1827,0.0146,0.3127,0.7561
UNION,043,2296,354,960,26,12,1,675,268,962,305,1561,291,669,19,6,583,261,1942,0.1542,0.4181,0.419,0.0052,0.8458,0.6799
VANCE,CC,3506,2120,1126,10,19,2,104,125,170,2103,2797,1746,880,9,14,118,1733,1386,0.6047,0.3212,0.0485,0.0054,0.3953,0.7978
VANCE,CH,6152,619,4961,33,33,0,302,204,461,567,4538,506,3667,28,29,288,484,5533,0.1006,0.8064,0.0749,0.0054,0.8994,0.7376
VANCE,KITT,5045,2870,1659,18,15,4,257,222,424,2808,3963,2375,1283,13,6,256,2336,2175,0.5689,0.3288,0.084,0.003,0.4311,0.7855
VANCE,MIDD,3520,1711,1606,10,20,0,77,96,127,1695,2831,1438,1272,7,15,71,1432,1809,0.4861,0.4562,0.0361,0.0057,0.5139,0.8043
VANCE,NH,4604,2063,2215,8,12,0,123,183,215,2037,3663,1723,1734,8,12,127,1705,2541,0.4481,0.4811,0.0467,0.0026,0.5519,0.7956
VANCE,NV,2149,711,1144,16,10,0,196,72,289,667,1626,590,854,11,10,169,561,1438,0.3309,0.5323,0.1345,0.0047,0.6691,0.7566
VANCE,SCRK,6417,2763,2766,29,20,4,570,265,824,2649,4760,2231,1997,18,12,478,2166,3654,0.4306,0.431,0.1284,0.0031,0.5694,0.7418
VANCE,SH,5866,1384,3341,24,46,1,741,329,972,1317,4407,1189,2491,22,31,618,1140,4482,0.2359,0.5696,0.1657,0.0078,0.7641,0.7513
