district_type,district,base_trump,base_harris,base_total,base_margin,base_winner,sim_trump_raw,sim_harris_raw,sim_margin_raw,sim_winner_raw,sim_trump_blend,sim_harris_blend,sim_margin_blend,sim_winner_blend,flipped_raw,flipped_blend
cong_dist,1.0,541.1666666666667,704.6666666666666,1245.8333333333335,-13.12,Harris,570.3333333333333,747.0,-13.41,Harris,569.8333333333333,747.5,-13.49,Harris,False,False
cong_dist,2.0,2345.6666666666665,3502.133333333333,5847.799999999999,-19.78,Harris,2456.4666666666667,3671.4666666666662,-19.83,Harris,2457.0,3670.9333333333334,-19.81,Harris,False,False
cong_dist,3.0,601.3333333333334,111.33333333333333,712.6666666666667,68.76,Trump,624.0,115.66666666666667,68.72,Trump,617.0,122.66666666666667,66.83,Trump,False,False
cong_dist,4.0,887.0,1361.3333333333335,2248.3333333333335,-21.1,Harris,905.0,1390.3333333333335,-21.14,Harris,905.6666666666666,1389.6666666666665,-21.09,Harris,False,False
cong_dist,5.0,773.3333333333333,763.6666666666666,1537.0,0.63,Trump,811.6666666666667,814.0,-0.14,Harris,810.0,815.6666666666667,-0.35,Harris,True,True
cong_dist,6.0,1371.0,1200.3333333333333,2571.333333333333,6.64,Trump,1437.0,1291.3333333333333,5.34,Trump,1435.3333333333335,1293.0,5.22,Trump,False,False
cong_dist,7.0,1149.0,460.3333333333333,1609.3333333333333,42.79,Trump,1222.0,492.6666666666667,42.53,Trump,1203.6666666666665,511.0,40.4,Trump,False,False
cong_dist,8.0,2393.6666666666665,2930.666666666667,5324.333333333334,-10.09,Harris,2524.6666666666665,3099.3333333333335,-10.22,Harris,2518.0,3106.0,-10.46,Harris,False,False
cong_dist,9.0,1200.3333333333333,1579.6666666666667,2780.0,-13.65,Harris,1255.0,1654.0,-13.72,Harris,1253.3333333333333,1655.6666666666665,-13.83,Harris,False,False
cong_dist,10.0,598.6666666666666,276.0,874.6666666666666,36.89,Trump,620.6666666666666,286.3333333333333,36.86,Trump,615.3333333333334,291.6666666666667,35.69,Trump,False,False
cong_dist,11.0,335.3333333333333,130.66666666666666,466.0,43.92,Trump,349.6666666666667,136.33333333333334,43.9,Trump,346.0,140.0,42.39,Trump,False,False
