county,registered_youth,registered_total
SURRY-BATH,132,1837
TAYLORSVILLE #1 #4 #5,339,3571
TAYLORSVILLE #2 #3,233,2507
TOWN CREEK,493,5678
TRANTERS CREEK,222,2169
TURNBULL,42,443
WACCAMAW,353,3420
WADESBORO,479,5053
WASHINGTON PARK,103,1087
WASHINGTON WARD 1,101,1334
WASHINGTON WARD 2,92,1204
WASHINGTON WARD 4,172,1916
WEST BOONE,271,2832
WEST BURLINGTON,139,1709
WEST GRAHAM,94,942
WEST JEFFERSON,214,2729
WHITE OAK,362,4253
WHITE STORE,33,303
WHITES,58,926
WHITES CREEK,81,1014
WINDSOR 1,289,3169
WINDSOR 2,58,610
WITTENBURG,149,1707
WOODARDS POND,135,1453
WOODBURN,315,3341
WOODVILLE,57,663
01-02,380,3052
01-04,838,5986
01-07,340,2769
01-08,678,5203
01-10,347,3021
01-11,548,4570
02-01,273,3446
02-02,548,4227
02-03,751,6206
02-05,475,4180
02-06,396,3275
02-07,303,3230
02-08,1163,7487
02-09,1210,7544
03-00,711,5720
04-01,302,2911
04-03,254,2626
04-08,215,2090
04-09,448,4302
04-11,311,3148
04-12,534,4205
04-13,537,4928
05-00,239,2647
06-00,224,2078
07-00,138,1260
08-00,384,3959
09-00,245,2749
10-00,656,5916
11-01,790,5216
11-02,338,3337
12-03,191,1882
12-04,207,2417
12-05,184,1987
12-08,202,1328
12-09,259,2670
12-11,152,1509
12-12,218,1926
12-13,462,3442
12-14,225,2680
CHESTERFIELD,149,1855
DREXEL 01,255,2788
DREXEL 03,89,1083
ICARD 01,260,2666
ICARD 02,135,1673
ICARD 03,224,2521
ICARD 04,170,1785
ICARD 05,108,1301
JONAS RIDGE,29,510
LINVILLE 01,32,599
LINVILLE 02,44,900
LOVELADY 01,98,1314
LOVELADY 02,164,1759
LOVELADY 04,196,2200
LOWER FORK,204,2073
MORGANTON 01,139,1683
MORGANTON 04,146,1653
MORGANTON 05,128,1248
MORGANTON 06,140,1674
MORGANTON 08,190,1926
MORGANTON 09,146,1658
MORGANTON 10,150,1589
PILOT MOUNTAIN,257,3025
QUAKER MEADOWS #1-A,141,1755
QUAKER MEADOWS #1-B,146,1244
QUAKER MEADOWS 02,166,1847
SALEM,738,7744
SILVER CREEK 01,251,3054
SILVER CREEK 02,129,1218
UPPER CREEK,66,786
UPPER FORK,48,740
ANDERSON,66,830
ANDREWS NORTH WARD,130,1426
ANDREWS SOUTH WARD,142,1376
ATLANTIC BEACH,49,1269
ATLANTIC/SEA LEVEL/CEDAR ISLAND,54,724
BALLS CREEK,314,3308
BANOAK,201,2206
BATON,242,2669
BEAUFORT 1,62,1284
BEAUFORT 2,211,3577
BELLVIEW,69,1282
BETHWARE,173,1657
BLACKBURN,243,2240
BOGUE,315,3133
BONLEE,117,1312
BRASSTOWN,118,1744
BROAD CREEK,185,1976
BROAD RIVER,467,4329
BROOKFORD,95,810
BYNUM,202,2274
CAJAHS MOUNTAIN,281,2957
CAPE CARTERET/CEDAR POINT,325,3623
CASAR,124,1361
CATAWBA,328,3254
CENTER HILL,62,776
CLAREMONT,187,2264
COLLEGE PARK,148,936
COLLETTSVILLE,111,2022
CONOVER EAST,221,2439
CONOVER WEST,311,2724
COURTHOUSE,777,8335
CROSSROADS,510,4805
CULBERSON,50,939
DAVIS/STACY/WILLISTON,48,585
DUDLEY SHOALS,236,2428
EAST CHAPEL,397,5716
EAST EDENTON,138,1712
EAST MAIDEN,226,2376
EAST NEWTON,57,515
EAST PITTSBORO,308,3964
EAST SILER CITY,528,3364
EAST WILLIAMS,241,4695
