county,registered_youth,registered_total
BEAVERDAM 1,120,1317
BEAVERDAM 2,95,1134
BEAVERDAM 3,139,1804
BEAVERDAM 4,125,1612
BEAVERDAM 5/6,142,1670
BEAVERDAM 7,97,1156
BIG CREEK,1,16
BLACK RIVER,894,9388
BOONE TRAIL,652,5963
BRICKTON,168,1543
BUTTERWOOD,16,303
CAROLINA VILLAGE,0,506
CECIL,18,363
CENTRAL HARNETT LILLINGTON,281,2765
CENTRAL HARNETT NEILLS CREEK,496,4603
CLEAR CREEK,261,3653
CLYDE NORTH,197,1969
CLYDE SOUTH,195,2237
COATS/GROVE,700,6383
CONOCONNARA,19,273
CRAB CREEK,73,1207
CRABTREE,309,3781
EAST AVERASBORO,292,2943
EAST FLAT ROCK,263,2378
EAST FORK,135,2104
EDNEYVILLE,264,2977
ENFIELD 1,127,1766
ENFIELD 2,106,1029
ERWIN/DUKE,361,3653
ETOWAH SOUTH,147,2189
ETOWAH VALLEY,188,2551
FAUCETT,67,1002
FINES CREEK 1,42,719
FINES CREEK 2,8,165
FLAT ROCK,128,3014
FLETCHER,282,4030
GREEN RIVER,208,2446
GRIMESDALE,117,1377
HALIFAX,62,1027
HAZELWOOD,66,1021
HENDERSONVILLE-1,119,2161
HENDERSONVILLE-2,157,2209
HENDERSONVILLE-3,130,2093
HOBGOOD,69,832
HOLLISTER,175,1675
HOOPERS CREEK,270,3193
HORSE SHOE,151,2512
IRON DUFF,62,976
IVY HILL,195,3882
JOHNSONVILLE,724,6069
JONATHAN CREEK,218,3308
LAKE JUNALUSKA,104,1851
LAUREL PARK,94,1766
LITTLETON,150,2558
LONG JOHN MOUNTAIN,132,2018
MOORES GROVE,97,1099
NORTH BLUE RIDGE,457,3842
NORTH MILLS RIVER,246,3092
NORTHEAST,217,2446
NORTHWEST HARNETT,722,8392
PARK RIDGE,195,2649
PIGEON,211,2500
PIGEON CENTER,101,1101
PISGAH VIEW,96,1935
RAVEN ROCK,62,1000
RINGWOOD,90,1066
ROANOKE RAPIDS 1-2,127,1021
ROANOKE RAPIDS 10,194,2120
ROANOKE RAPIDS 11,188,2143
ROANOKE RAPIDS 3-4,198,1738
ROANOKE RAPIDS 7-9,312,3141
ROANOKE RAPIDS CENTRAL,254,2455
RUGBY,220,2244
SAUNOOK,113,2014
SCOTLAND NECK,103,1649
SOUTH BLUE RIDGE,267,3131
SOUTH MILLS RIVER,336,3805
SOUTHEAST,335,3368
SOUTHWEST,489,5873
STEWARTS CREEK,268,2785
WAYNESVILLE CENTER,65,785
WAYNESVILLE EAST,87,1538
WAYNESVILLE SOUTH 1,107,1953
WAYNESVILLE SOUTH 2,120,1648
WAYNESVILLE WEST,91,1515
WELDON 1-2,120,1102
WELDON 3,156,1747
WEST AVERASBORO,379,4240
AHOSKIE 1,129,1640
AHOSKIE 2,116,1599
AHOSKIE 3,69,916
ALLENDALE,47,352
ARCHERS LODGE,942,7164
BANNER,464,5137
BARKERS CREEK,102,1284
BARRINGER,577,6484
BEAVER CREEK,69,610
BENTONVILLE,116,1083
BETHANY,479,5107
BEULAH,324,3000
BLUE SPRINGS,108,851
BRYANTVILLE,18,324
BUCHAN,96,1095
BURGESS MILL,26,301
CANADA,33,476
CANEY FORK,50,578
CASHIERS,83,1760
CHAMBERSBURG-A,259,2702
CHAMBERSBURG-B,341,2875
CODDLE CREEK #1,833,6412
CODDLE CREEK #2,692,6184
CODDLE CREEK #3,1323,10629
CODDLE CREEK #4,543,4960
COFIELD,36,422
COMO,32,420
CONCORD,442,4602
COOL SPRINGS,261,2569
CULLOWHEE,2331,5091
DAVIDSON #1A,729,5880
DAVIDSON #1B,1281,10016
DAVIDSON #2A,605,5710
DAVIDSON #2B,737,7307
DAVIDSON #3A,684,4998
EAGLE MILLS,99,1212
EAST CLAYTON,719,6314
EAST SELMA,256,2321
EAST SMITHFIELD,247,2141
ENGELHARD,30,347
FAIRFIELD,16,256
FALLSTOWN,867,9573
FLOWERS PLANTATION,1603,14299
GLENVILLE,134,1725
GREENS CREEK,94,1055
HARRELLSVILLE,51,677
INGRAMS,477,4024
LAKE LANDING,23,378
MCCAIN,146,1749
MEADOW,250,2052
MICRO,220,2079
MILLENNIUM,44,472
MURFREESBORO 1,175,1820
MURFREESBORO 2,48,897
NORTH BOON HILL,351,2931
NORTH CLAYTON 1,307,3592
NORTH CLAYTON 2,302,3754
NORTH CLEVELAND 1,620,5968
NORTH CLEVELAND 2,710,5525
NORTH ELEVATION,403,4345
NORTH ONEALS,554,5021
NORTH PLEASANT GROVE 1,523,4772
NORTH PLEASANT GROVE 2,372,3844
NORTH SMITHFIELD 1,150,1627
NORTH SMITHFIELD 2,324,2762
NORTH WILDERS,407,3760
OCRACOKE,63,719
OLIN,114,1234
PHILIPPI,375,2983
PINE LEVEL,347,3098
POLLOCKSVILLE,125,1787
PRECINCT A1,504,4216
PRECINCT A2,594,4691
PRECINCT B1,195,2219
PRECINCT B2,261,2245
PRECINCT C1,438,4065
PRECINCT C2,379,3834
PRECINCT D1,387,3947
PRECINCT D2,313,3812
PRECINCT E1,254,2518
PRECINCT E2,388,3926
PUPPY CREEK,455,4028
QUALLA,322,3212
RAEFORD #1,131,1326
RAEFORD #2,107,868
RAEFORD #3,399,3086
RAEFORD #4,186,1967
RAEFORD #5,38,585
RIVER,126,1815
ROCKFISH,393,3772
SAVANNAH,103,1131
SCOTTS CREEK COMBINED,117,1687
SHARPESBURG,178,1829
SHILOH-A,272,2905
SHILOH-B,277,3005
SLADESVILLE,22,276
SOUTH BOON HILL,221,2140
SOUTH CLAYTON,729,6467
SOUTH ELEVATION,267,2724
SOUTH ONEALS,354,3149
SOUTH PLEASANT GROVE,484,4297
SOUTH SMITHFIELD,519,4509
SOUTHEAST CLEVELAND,408,3495
SOUTHWEST CLEVELAND,715,6862
ST JOHN,338,3357
STATESVILLE #1,352,3875
STATESVILLE #2,275,2652
STATESVILLE #3,380,3619
STATESVILLE #4,208,2687
STATESVILLE #5,267,2742
STATESVILLE #6,426,4150
STONEWALL,165,1356
SWAN QUARTER,34,432
SYLVA DILLSBORO COMBINED,453,5196
TRENTON,102,1272
TUCKAHOE,45,514
TURNERSBURG,246,2433
UNION GROVE,888,8280
WAYSIDE,598,4682
WEBSTER,150,1877
WEST CLAYTON 1,271,2805
WEST CLAYTON 2,521,5101
WEST SELMA,298,2342
WILSONS MILLS,547,4694
WINTON,78,1012
ASBURY,196,2259
BEAR GRASS,133,1463
BEECH GLEN,192,2600
BOGER CITY,177,1526
BUFFALO SHOALS,181,2055
BURNINGTOWN,40,745
CARTOOGECHAYE,132,2021
CONTENTNEA,200,1967
COWANS FORD,170,1796
COWEE,143,2129
CROOKED CREEK,141,1873
CROSS ROADS,109,944
DANIELS/VALE,244,2800
DENVER,330,3281
DENVER WEST,306,3119
DYSARTSVILLE,219,2361
EAST FRANKLIN,907,4269
EBBS CHAPEL,69,984
ELLIJAY,140,2043
FLATS,31,468
GLENWOOD,475,4038
GOOSE NEST,59,891
GRAPEVINE,87,1051
GRIFFINS,258,3008
HAMILTON,81,943
HIGGINS,116,1450
HIGHLANDS,127,2314
HOT SPRINGS,70,758
HOWARDS CREEK,333,3451
INSTITUTE,172,1627
IOTLA,143,1488
IRON STATION,307,2572
IRON STATION SOUTH,126,1612
JAMESVILLE,199,1924
KINSTON -1,91,616
KINSTON-2,45,760
KINSTON-3,101,1129
KINSTON-4,183,2223
KINSTON-5,119,1271
KINSTON-6,181,1741
KINSTON-7,104,1455
KINSTON-8,87,813
KINSTON-9,153,1762
LABORATORY,205,2532
LINCOLNTON/NORTH,90,1428
LINCOLNTON/SOUTH,136,1498
LITHIA,105,1373
LOWESVILLE,314,4976
LOWESVILLE WEST,129,1774
MARION #1,231,2651
MARION #2,107,1214
MARION #3,88,858
MARION #4,119,1009
MARION #5,113,943
MARS HILL,360,3490
MILLSHOAL,155,2146
MONTFORD COVE,150,1568
MOSELEY HALL,299,3172
NANTAHALA,39,610
NEBO,216,2419
NEUSE,282,2691
NORTH BROOK 3A,339,3616
NORTH COVE,51,805
NORTH FRANKLIN,157,2242
NORTH MARSHALL,167,2091
OLD FORT #1,76,1132
OLD FORT #2,119,1660
ORE BANK,233,2221
PCT 001,152,1534
PCT 002,195,2945
PCT 003,269,1894
PCT 004,232,1961
PCT 005,108,1336
PCT 006,215,1845
PCT 007,120,1830
PCT 008,311,2264
PCT 009,271,4489
PCT 010,231,2590
PCT 011,857,8105
PCT 012,603,3007
PCT 013,305,4182
PCT 014,244,4299
PCT 015,177,3796
PCT 016,236,2569
PCT 017,253,1865
PCT 018,181,1686
PCT 019,199,1759
PCT 020,271,2340
PCT 021,100,2286
PCT 022,1001,9038
PCT 023,219,2744
PCT 024,218,2683
PCT 025,214,1984
PCT 026,370,3355
PCT 027,296,2695
PCT 028,121,1972
PCT 029,127,1874
PCT 030,257,5015
PCT 031,213,2312
PCT 032,270,2056
PCT 033,141,1813
PCT 034,169,2735
PCT 035,203,2085
PCT 036,203,2493
PCT 037,76,2064
PCT 038,101,1869
PCT 039,384,2795
PCT 040,265,2295
PCT 041,283,2271
PCT 042,295,2400
PCT 043,294,2564
PCT 044,74,1732
PCT 045,175,1724
PCT 046,167,2424
PCT 047,339,2844
PCT 048,333,2053
PCT 049,223,2916
PCT 050,91,1730
PCT 051,154,2775
PCT 052,264,3630
PCT 053,471,3557
PCT 054,198,2843
PCT 055,160,1496
PCT 056,190,1796
PCT 057,107,2528
PCT 058,116,2102
PCT 059,57,1201
PCT 060,153,1781
PCT 061,161,2275
PCT 062,272,1815
PCT 063,259,1866
PCT 064,79,1126
PCT 065,119,1422
PCT 066,135,1611
PCT 067,150,1516
PCT 068,117,1189
PCT 069,468,4358
PCT 070,255,2240
PCT 071,312,2295
PCT 072,155,1502
PCT 073,152,1626
PCT 074,306,3313
PCT 075,252,3296
PCT 076,171,2765
PCT 077,342,2894
PCT 078,290,3082
PCT 079,204,2008
PCT 080,432,3728
PCT 081,469,4208
PCT 082,495,3127
PCT 083,385,2979
PCT 084,249,2072
PCT 085,182,2253
PCT 086,282,2110
PCT 087,199,2438
PCT 088,162,2394
PCT 089,670,5900
PCT 090,154,1525
PCT 091,665,4643
PCT 092,260,2953
PCT 093,178,1844
PCT 094,182,1798
PCT 095,225,1736
PCT 096,113,2031
PCT 097,128,1115
PCT 098,340,2726
PCT 099,210,1621
PCT 100,296,2841
PCT 101,172,2146
PCT 102,508,4195
PCT 103,284,3308
PCT 104,302,2505
PCT 105,1264,4154
PCT 106,100,1629
PCT 107,377,3416
PCT 108,320,2089
PCT 109,128,2626
PCT 110,126,1349
PCT 111,232,2791
PCT 112,269,2219
PCT 113,390,3292
PCT 114,258,2762
PCT 115,170,1421
PCT 116,206,1436
PCT 117,169,1969
PCT 118,376,2807
PCT 119,157,1657
PCT 120,182,1527
PCT 121,399,3924
PCT 122,415,4728
PCT 123,297,2314
PCT 124,236,2320
PCT 125,171,1207
PCT 126,484,4033
PCT 127,827,5888
PCT 128,225,2705
PCT 129,94,1031
PCT 130,175,1614
PCT 131,144,1747
PCT 132,403,2732
PCT 133,583,5290
PCT 134,600,6581
PCT 135,1023,7228
PCT 136,195,3050
PCT 137,902,6338
PCT 138,321,3075
PCT 139,425,3413
PCT 140,698,5342
PCT 141,2121,2983
PCT 142,560,6568
PCT 143,708,5869
PCT 144,363,3705
PCT 145,1232,10224
PCT 146,467,3771
PCT 147,352,3155
PCT 148,1603,10672
PCT 149,650,5515
PCT 150,337,3483
PCT 151,563,5289
PCT 200,262,3299
PCT 201,942,9020
PCT 202,976,9291
PCT 203,1007,8220
PCT 204,645,4890
PCT 205,518,4441
PCT 206,1543,7690
PCT 207,721,5968
PCT 208,595,4831
PCT 209,553,4964
PCT 210,645,5694
PCT 211,1022,9777
PCT 212,1704,12149
PCT 213,639,4794
PCT 214,361,3270
PCT 215,362,3667
PCT 216,481,4999
PCT 217,253,2566
PCT 218,275,2875
PCT 219,260,2818
PCT 220,215,3104
PCT 221,475,4757
PCT 222,831,6968
PCT 223,884,7432
PCT 224,337,3177
PCT 225,176,2837
PCT 226,261,3388
PCT 227,876,7018
PCT 228,350,3931
PCT 229,1287,14531
PCT 230,1002,9554
PCT 231,455,4460
PCT 232,442,4616
PCT 233,434,4522
PCT 234,412,3318
PCT 235,342,3034
PCT 236,568,5777
PCT 237,824,4680
PCT 238,304,2935
PCT 239,513,4270
PCT 240,478,5721
PCT 241,887,10205
PCT 242,393,3177
PCT 243,966,10150
PINK HILL-1,63,569
PINK HILL-2,104,1038
PLEASANT GARDENS,147,1881
PUMPKIN CENTER,274,2646
REVERE-RICE COVE,27,246
ROBERSONVILLE,164,1957
SANDHILL,66,634
SANDY MUSH,233,2201
SMITHBRIDGE,235,2891
SOUTH FRANKLIN,125,1172
SOUTH MARSHALL,73,920
SPRING CREEK,27,671
SUGARFORK,26,470
TRENT-1,134,1194
TRENT-2,112,881
TRIANGLE A,349,4807
TURKEY COVE #17,49,636
VANCE,176,1839
WALNUT,78,1201
WEST MARION #7,322,3140
WESTPORT,600,6503
WILLIAMSTON 1,293,2693
WILLIAMSTON 2,269,2577
WOODINGTON,100,989
BAILEY,329,3200
BAKERSVILLE,116,1489
BENSALEM,167,1943
BISCOE,197,1274
BRADSHAW,375,4358
CAMERON,261,2662
CANDOR,185,1201
CANE CREEK,40,474
CARTHAGE,561,5479
CASTALIA,125,1280
CF01,390,5215
CF02,265,2868
CF05,291,3225
CF06,263,2718
CHEEKS CREEK,51,613
COOPERS,274,2877
DEEP RIVER/HIGH FALLS/RITTER,177,1590
DORTCHES,166,1602
EAST ABERDEEN,236,2890
EAST KNOLLWOOD,103,1444
EASTWOOD,175,1714
ELDORADO,74,1639
EUREKA/WHISPERING PINES,517,4524
FP03,102,1756
FP04,563,5936
FP06,407,3964
FP07,481,5240
FP08,363,5329
GRASSY CREEK,424,5334
HARRELL,69,764
LITTLE RIVER,542,5262
LITTLE ROCK CREEK,31,488
M02,668,6253
M03,472,6976
M04,623,6321
M06,185,2708
M07,161,2546
MIDDLESEX,273,2398
MOMEYER,64,794
MT GILEAD,114,1353
NASHVILLE,555,6398
NORTH SOUTHERN PINES,117,2398
OAK LEVEL,397,4044
OPHIR,19,270
PEE DEE,85,1493
PINEBLUFF,199,2141
PINEDENE,291,3269
PINEHURST A1,238,3066
PINEHURST A2,124,2197
PINEHURST B1,143,2948
PINEHURST B2,117,2277
PINEHURST C,253,4077
POPLAR,6,147
RED OAK,293,3016
ROBBINS,174,1165
ROCKY MOUNT BATTLEBORO,248,2081
ROCKY MOUNT BENVENUE,330,3614
ROCKY MOUNT DOWNTOWN,246,2718
ROCKY MOUNT EDWARDS,178,2063
ROCKY MOUNT HUNTER HILL,204,2553
ROCKY MOUNT SOUTH,303,3025
ROCKY MOUNT SUNSET,207,2449
ROCKY MOUNT WINSTEAD,470,5071
ROCKY SPRINGS,98,676
SAMARIA,210,1790
SEVEN LAKES,366,4826
SNOW CREEK,69,1145
SOUTH SOUTHERN PINES,320,3987
SPRING HOPE,254,2816
STANHOPE,233,1767
STAR,152,1411
TAYLORTOWN,25,451
TROY 1,179,1739
TROY 2,113,1247
UWHARRIE,112,1360
VASS,241,2220
W03,125,1929
W08,114,1472
W12,178,1727
W15,715,4970
W16,264,3057
W17,196,2117
W21,307,4196
W25,235,3916
W26,155,2364
W27,160,2720
W29,273,3062
W30,427,4883
W31,339,3948
W33,609,5227
W34,2615,5237
W35,765,4202
WADEVILLE,39,380
WB,166,1859
WEST ABERDEEN,312,3665
WEST END,282,3125
WEST KNOLLWOOD,154,2664
WESTMOORE,178,1909
ARAPAHOE,118,2307
BAY RIVER,39,504
BC21,626,5785
BM08,879,6824
CALDWELL,238,2801
CARR,91,1090
CARRBORO,298,2765
CEDAR FALLS,541,4003
CEDAR GROVE,139,1585
CHEEKS,623,6476
CL10,347,3146
COKER HILLS,127,1166
COLES STORE,165,1715
COLONIAL HEIGHTS,420,2399
CONWAY/MILWAUKEE/PENDLETON,65,1043
CR07,559,4982
CREEKSVILLE,36,483
DAMASCUS,292,2056
DOGWOOD ACRES,414,2890
EAST ELIZABETH CITY,326,3288
EASTSIDE,178,1816
EFLAND,171,2002
EN03,1668,10981
ENO,306,2276
ESTES HILLS,307,2036
FS16,427,5403
GALATIA,36,492
GARYSBURG/PLEASANT HILL,107,1518
GASTON,188,2138
GB12,740,5614
GRADY BROWN,479,4239
HILLSBOROUGH,93,1328
HILLSBOROUGH EAST,149,1973
HILLSBOROUGH NORTH,301,2691
HM05,565,4540
HN14,298,2767
HOGAN FARMS,486,2841
HR17,316,3987
HU20,433,3757
JA01,2155,6181
JACKSON/REHOBOTH,44,724
KINGS MILL,236,2022
LAKE GASTON,46,1229
LASKER,11,203
ML23,108,1185
MT  HERMON,497,4549
MT24,205,2430
NE22A,672,4854
NE22B,665,5554
NEWLAND,171,1898
NEWTOWN,36,432
NIXONTON,313,3684
NM13,107,1085
NORTH CARRBORO,312,2500
NORTH ELIZABETH CITY,266,2173
NORTHSIDE,809,1801
NR02,189,1479
ORANGE GROVE,264,3368
ORIENTAL,60,2032
OWASA,401,2544
REELSBORO,127,1370
RICH SQUARE,81,1011
RIDGEFIELD,287,2185
RL09,749,6199
ROGER EUBANKS,527,3462
SEABOARD,69,750
SEVERN,16,273
SF18,545,6350
SOUTH ELIZABETH CITY,734,2786
ST MARYS,218,2463
SW19,458,5106
TL06,398,3668
TOLARS,118,1380
TOWN HALL,208,1805
UNC,2851,4291
VR15,241,2120
WEAVER DAIRY,302,2512
WEAVER DAIRY SAT,0,426
WEST ELIZABETH CITY,315,2597
WEST HILLSBOROUGH,176,1981
WESTWOOD,630,2280
WHITE CROSS,148,1631
WN04,513,4572
WOODLAND/POTECASI,43,591
ALFORDSVILLE,127,1011
ALLENSVILLE,182,1951
ARCHDALE,672,7198
ARTHUR,346,3764
ASHEBORO EAST,426,3840
ASHEBORO NORTH,518,3449
ASHEBORO SOUTH,372,3553
ASHEBORO WEST,551,4905
AYDEN A,291,2851
AYDEN B,236,2399
BACK CREEK,302,2988
BACK SWAMP,225,2116
BEAVER DAM #1,77,769
BELVIDERE,71,708
BELVOIR,475,3584
BRITTS,266,2016
BURGAW,450,5112
BURNT SWAMP,260,2008
CAROLINA,168,1284
CHICOD,578,4797
COLUMBIA,194,2439
COLUMBUS-1,165,2260
COLUMBUS-2,154,2673
COOPERS GAP,151,1712
CUNNINGHAM/CHUB LAKE,103,1698
DEEP RIVER,448,4110
EAST HERTFORD,93,871
EAST HOWELLSVILLE,204,1603
FAIRMONT,286,2915
FALKLAND,179,1944
FARMVILLE A,220,2181
FARMVILLE B,176,1836
FLAT RIVER,433,5047
FOUNTAIN,64,735
GADDYS,89,704
GRANT,385,3593
GREEN CREEK,193,2548
GREENVILLE #1,118,922
GREENVILLE #10A,192,2173
GREENVILLE #10B,192,2367
GREENVILLE #11A,372,3637
GREENVILLE #11B,464,3215
GREENVILLE #12A,712,6079
GREENVILLE #12B,245,2375
GREENVILLE #13A,400,3236
GREENVILLE #13B,337,2476
GREENVILLE #3,434,2234
GREENVILLE #4A,231,2423
GREENVILLE #4B,368,4254
GREENVILLE #5A,225,2118
GREENVILLE #5B,266,2380
GREENVILLE #6,710,1833
GREENVILLE #7,1468,3224
GREENVILLE #7B,1400,1707
GREENVILLE #8A,893,1400
GREENVILLE #8B,379,1569
GREENVILLE #9,633,3474
GRIFTON,307,2836
GRIMESLAND,160,1162
HOLLOWAY,83,989
LEVEL CROSS,209,2195
LIBERTY,268,2505
LOWER TOPSAIL,636,5912
LUMBER BRIDGE,115,938
LUMBERTON #1,284,3199
LUMBERTON #11A,197,1450
LUMBERTON #2,226,1917
LUMBERTON #3,184,1526
LUMBERTON #4,99,925
LUMBERTON #5,107,871
LUMBERTON #6,98,988
LUMBERTON #7,37,351
LUMBERTON #8A,144,1333
MALPASS CORNER,229,2552
MARKS CREEK #1,351,3090
MARKS CREEK #2,444,4390
MAXTON,320,2558
MIDDLE TOPSAIL,334,3839
MINERAL SPRINGS #1,179,1622
MINERAL SPRINGS #2,76,859
MT TIRZAH,172,2315
NEW MARKET,379,4047
NICANOR,19,218
NORTH PEMBROKE,444,2154
OLIVE HILL,133,1520
ORRUM,118,1014
OXENDINE,175,1519
PACTOLUS,472,3819
PARKTON,245,2171
PARKVILLE,125,1690
PENDERLEA,253,2581
PHILADELPHUS,149,1120
PIEDMONT NORTH,285,3275
PROSPECT,233,1922
RAFT SWAMP,220,1639
RAMSEUR,280,2665
RANDLEMAN,554,5220
RED SPRINGS,365,2723
RENNERT,194,1076
ROCKINGHAM #1,407,3657
ROCKINGHAM #2,451,4190
ROCKINGHAM #3,176,1808
ROCKY POINT,731,6624
ROWLAND,112,1204
ROXBORO 4,120,1605
ROXBORO CENTRAL,303,3430
SADDLETREE,329,2468
SALUDA,97,1526
SCOTTS HILL,260,2881
SHANNON,91,519
SIMPSON A,414,3573
SIMPSON B,509,4381
SLOOP POINT,555,5372
SMYRNA,129,1021
SOUTH PEMBROKE,470,3190
SOUTH WEST,134,1807
SOUTHERN,317,3341
ST PAULS,595,4150
STALEY,193,1912
STEELES #1,16,114
STERLINGS,53,538
SURF CITY,429,4861
SWIFT CREEK,101,1139
TABERNACLE,267,2776
THOMPSON,46,414
TRINITY,818,8438
TRINITY TABERNACLE,409,3834
UPPER HOLLY,58,763
UPPER TOPSAIL,529,5042
WEST HERTFORD,85,796
WEST HOWELLSVILLE,194,1329
WHITEHOUSE,41,468
WINTERVILLE NORTH,465,4406
WINTERVILLE SOUTH,318,3297
WINTERVILLE WEST,354,3287
WISHARTS,319,2999
WOLF PIT #1,254,2115
WOLF PIT #2,175,1546
WOODSDALE,64,996
ALBEMARLE 10.1,179,1814
ALBEMARLE 7.1,212,2304
ALBEMARLE 8.1,125,1292
ALBEMARLE NUMBER 11,101,1258
ALBEMARLE NUMBER 3,172,2003
ALMOND 1,225,2668
AQUADALE,207,2062
AUTRYVILLE,153,1471
BADIN,120,1149
BARNHARDT MILL,138,1666
BIG LICK NUMBER 1,194,1920
BIG LICK NUMBER 2,330,3155
BLACKWELDER PARK,96,1231
BOSTIAN CROSS ROAD,181,2075
BOSTIAN SCHOOL,154,1674
BOSTIC-SUNSHINE,167,1988
BRYAN,163,1729
CAMP CREEK-MT VERNON,209,2147
CAROLEEN-CLIFFSIDE,235,2410
CHESTNUT GROVE,180,1938
CHIMNEY ROCK,115,2396
CHINA GROVE,386,3974
CLEMENT,182,1444
CLEVELAND,183,1809
"CLINTON, CENTRAL",79,742
"CLINTON, EAST",288,2349
"CLINTON, NORTHEAST",176,1692
"CLINTON, SOUTHWEST",149,1376
"CLINTON, WEST",158,1559
DANBURY,49,741
DANIELTOWN-SULPHUR SPRINGS,270,3059
DOBSON #3,193,1630
DOBSON COMBINED,304,2766
DRAPER,174,1784
DUNCAN CREEK-GOLDEN VALLEY,85,1226
EAST ALBEMARLE,79,998
EAST ENOCHVILLE,202,1937
EAST KANNAPOLIS,264,2341
EAST KING,296,3646
EAST SPENCER,66,766
EAST WALNUT COVE,173,1841
EDEN,514,5408
EDEN CENTRAL,328,3506
ELDORA,217,2310
ELKIN,365,4045
ELLENBORO,464,4839
ELLIS,96,1269
ENDY,142,1276
FAITH,251,2887
FLINTY KNOLL,117,1351
FOREST CITY #1,341,3422
FOREST CITY #2,206,2138
FRANCISCO,110,1399
FRANKLIN,392,4011
FURR NUMBER 1,355,4102
FURR NUMBER 2,369,3616
GARLAND,139,1053
GERMANTON,95,1228
GIDDENSVILLE,149,1054
GILKEY-MORGAN,213,2582
GOLD KNOB,177,1739
GRANITE QUARRY,364,4062
GREEN HILL,158,1998
HARRELLS,114,1406
HATTERS SHOP,268,3211
HAYNES,192,1802
HERRING,75,694
HOGANS-1,262,3100
HUNTSVILLE-1,366,4069
INGOLD,142,1051
KEENER,146,1158
KITTY FORK,192,1623
LAKEWOOD,234,2344
LANDIS,377,4005
LAWSONVILLE,129,1307
LINCOLN-1,324,3725
MARSH,147,1265
MILFORD HILLS CITY,184,2253
MILFORD HILLS COUNTY,161,1747
MINGO,322,2411
MITCHELL,124,1312
MIZPAH,151,1660
MONROETON,255,3320
MORGAN #1,53,884
MORGAN #2,135,1538
MT AIRY #1,207,1920
MT AIRY #5,155,1643
MT AIRY #6,133,1247
MT AIRY #7,111,1178
MT AIRY #8,151,1881
MT AIRY #9,239,2526
MT AIRY COMBINED,345,3830
MT. ULLA,120,1498
NEW BETHEL,300,3513
NEW LONDON,191,1845
NEWTON GROVE,150,1252
NORTH ALBEMARLE 2,251,2220
NORTH LOCKE,267,2488
NORTH WARD,228,2174
NORTH WESTFIELD,117,1460
NORWOOD,296,3100
PALMERVILLE,99,1182
PINE HALL,57,912
PINNACLE,184,2033
PLAINVIEW,248,2467
REIDSVILLE-1,409,4984
REIDSVILLE-2,370,4582
REYNOLDS,45,641
RICHFIELD,98,1085
RIDENHOUR,164,1582
ROCK CENTRAL,431,4563
ROCK GROVE,208,2142
ROCKFORD,86,1100
ROCKWELL,361,3423
ROSEBORO,159,1381
ROWAN,155,1352
RUTHERFORDTON #1,250,3053
RUTHERFORDTON #2,163,1473
SALEMBURG,101,913
SCOTCH IRISH,99,1170
SHOALS,107,1350
SILOAM,68,723
SOUTH ALBEMARLE 1,112,1267
SOUTH LOCKE,297,3014
SOUTH WARD,231,2529
SOUTH WESTFIELD,129,1278
SPENCER,193,1930
SPINDALE,243,2842
STEELE,115,1105
STEWARTS CREEK #1,154,1381
STEWARTS CREEK #2,188,2462
STONEVILLE,395,4510
SUMNER,313,2119
TRADING FORD,100,1536
TURKEY,98,948
UNITY,155,1596
WEST ENOCHVILLE,244,2501
WEST INNES,223,1587
WEST KANNAPOLIS,247,2087
WEST KING,272,3356
WEST WALNUT COVE,116,1528
WEST WARD #1,89,1045
WEST WARD #2,254,2390
WEST WARD #3,638,1314
WESTBROOK,137,1335
WESTERN-1,359,5002
WILLIAMSBURG,299,3576
WILSON ST.,201,2209
0005,402,3729
001,195,936
0019,588,4510
002,180,1338
0020A,431,3665
0020B,773,4379
003,121,1037
0030,500,4453
004,226,1067
0044,510,3486
0045,468,2991
006,248,2411
007,447,4183
008,339,1877
009,144,1194
010,113,1011
011,327,2752
017A,423,3745
017B,822,4926
018,493,3445
022,250,2588
023,192,2017
024,229,2262
025,197,2062
026,204,1930
027,153,1729
028A,1129,5847
028B,876,4324
028C,725,3933
028D,822,4894
029A,615,4775
029B,203,1669
029C,270,3067
035,152,2003
036,208,2087
037A,636,5362
037B,135,1374
038A,476,3354
038B,195,2113
039,380,3056
040,610,4039
041,706,4649
ALARKA,42,715
ALLIGATOR,11,156
ALMOND,83,1239
BC1,151,2002
BC2,180,1974
BOYD,226,2482
BREVARD #1,122,1617
BREVARD #2,90,1444
BREVARD #3,95,1799
BREVARD #4,147,1396
CATHEY'S CREEK,185,2151
CC,243,2490
CEDAR MOUNTAIN,57,813
CENTRAL HENDERSON,281,2603
DUNNS ROCK,95,2391
GUMNECK,7,139
KILKENNY,0,46
KITT,301,3111
MIDD,194,2339
NH,267,2964
NV,100,957
PISGAH FOREST,116,1101
PRECINCT 01-01,413,1930
PRECINCT 01-02,338,1747
PRECINCT 01-03,269,2129
PRECINCT 01-04,96,1243
PRECINCT 01-05,134,1150
PRECINCT 01-06,198,2711
PRECINCT 01-07,196,2831
PRECINCT 01-09,104,1185
PRECINCT 01-10,171,1555
PRECINCT 01-11,316,2755
PRECINCT 01-12,127,1886
PRECINCT 01-13,81,1659
PRECINCT 01-14,287,3770
PRECINCT 01-15,145,2972
PRECINCT 01-16,239,2942
PRECINCT 01-17,102,1154
PRECINCT 01-18,265,2645
PRECINCT 01-19,182,1829
PRECINCT 01-20,187,2607
