precinct_id,registered_total,registered_youth,voted_total_2024,voted_youth_2024,turnout_total,turnout_youth,turnout_gap,youth_share,youth_potential,nonvoting_youth
ALAMANCE_01,3794,379,3017,197,0.7952029520295203,0.5197889182058048,0.27541403382371554,0.09989457037427517,0.48021108179419525,182
ALAMANCE_02,3945,403,3227,209,0.8179974651457541,0.5186104218362283,0.2993870433095258,0.10215462610899874,0.4813895781637717,194
ALAMANCE_035,4686,1184,3523,879,0.7518139137857448,0.7423986486486487,0.009415265137096118,0.2526675202731541,0.25760135135135137,305
ALAMANCE_03C,2428,225,1987,121,0.8183690280065898,0.5377777777777778,0.28059125022881204,0.09266886326194398,0.4622222222222222,104
ALAMANCE_03N,3680,1040,2628,768,0.7141304347826087,0.7384615384615385,-0.024331103678929766,0.2826086956521739,0.26153846153846155,272
ALAMANCE_03N2,750,12,661,6,0.8813333333333333,0.5,0.3813333333333333,0.016,0.5,6
ALAMANCE_03SE,4163,348,2856,163,0.6860437184722555,0.46839080459770116,0.21765291387455438,0.08359356233485467,0.5316091954022989,185
ALAMANCE_03SM,4139,386,3085,187,0.7453491181444794,0.4844559585492228,0.26089315959525655,0.09325924136264799,0.5155440414507773,199
ALAMANCE_03W,3173,301,2479,153,0.7812795461708163,0.5083056478405316,0.27297389833028474,0.09486290576741255,0.49169435215946844,148
ALAMANCE_04,4172,401,3404,207,0.8159156279961649,0.516209476309227,0.2997061516869379,0.0961169702780441,0.4837905236907731,194
ALAMANCE_05,2743,255,2296,142,0.8370397375136711,0.5568627450980392,0.2801769924156319,0.0929639081297849,0.44313725490196076,113
ALAMANCE_063,2663,432,1688,159,0.6338715734134435,0.3680555555555556,0.2658160178578879,0.16222305670296658,0.6319444444444444,273
ALAMANCE_064,5126,512,4045,250,0.7891143191572376,0.48828125,0.3008330691572376,0.0998829496683574,0.51171875,262
ALAMANCE_06E,2431,237,1686,85,0.6935417523652818,0.35864978902953587,0.33489196333574595,0.09749074454956808,0.6413502109704642,152
ALAMANCE_06N,2512,313,1543,106,0.6142515923566879,0.33865814696485624,0.27559344539183167,0.12460191082802548,0.6613418530351438,207
ALAMANCE_06S,3856,346,2835,157,0.7352178423236515,0.45375722543352603,0.28146061689012547,0.08973029045643154,0.546242774566474,189
ALAMANCE_06W,1164,121,742,39,0.6374570446735395,0.32231404958677684,0.31514299508676263,0.10395189003436427,0.6776859504132231,82
ALAMANCE_07,3325,323,2676,165,0.804812030075188,0.5108359133126935,0.29397611676249447,0.09714285714285714,0.4891640866873065,158
ALAMANCE_08N,3088,322,2420,147,0.783678756476684,0.45652173913043476,0.3271570173462492,0.10427461139896373,0.5434782608695652,175
ALAMANCE_08S,1626,163,1267,81,0.7792127921279213,0.49693251533742333,0.28228027679049794,0.1002460024600246,0.5030674846625767,82
ALAMANCE_09N,2714,223,2125,118,0.7829771554900515,0.5291479820627802,0.2538291734272713,0.0821665438467207,0.47085201793721976,105
ALAMANCE_09S,5134,503,3983,231,0.775808336579665,0.4592445328031809,0.3165638037764841,0.09797428905336969,0.5407554671968191,272
ALAMANCE_103,4892,499,3684,212,0.7530662305805397,0.4248496993987976,0.3282165311817421,0.10200327064595258,0.5751503006012024,287
ALAMANCE_104,2298,212,1687,95,0.7341166231505657,0.4481132075471698,0.28600341560339587,0.09225413402959094,0.5518867924528302,117
ALAMANCE_10N,3658,330,2935,170,0.802351011481684,0.5151515151515151,0.28719949633016884,0.09021323127392017,0.48484848484848486,160
ALAMANCE_10S1,6381,679,4662,326,0.7306064880112835,0.4801178203240059,0.25048866768727757,0.10640965365930105,0.5198821796759941,353
ALAMANCE_11,3754,380,2887,170,0.7690463505594033,0.4473684210526316,0.3216779295067717,0.10122535961640916,0.5526315789473685,210
ALAMANCE_1210,1931,189,1260,66,0.6525116519937856,0.3492063492063492,0.3033053027874364,0.09787674779906784,0.6507936507936508,123
ALAMANCE_124,1805,168,1325,74,0.7340720221606648,0.44047619047619047,0.29359583168447434,0.09307479224376732,0.5595238095238095,94
