GEOID,total_pop,male_pop,female_pop,white_pop,black_pop,native_pop,asian_pop,pacific_pop,other_pop,multiracial_pop,hispanic_pop,under_18,age_18_24,age_25_34,age_35_44,age_45_64,age_65_plus
370630011001,1995,1290,705,357,1283,13,46,1,182,113,269,457,127,223,257,652,279
370630011002,864,454,410,173,282,16,30,2,243,118,400,198,89,133,167,195,82
370630011003,1292,644,648,300,641,14,12,1,178,146,317,333,115,164,228,296,156
370630013011,778,392,386,78,558,10,8,2,79,43,111,129,59,91,133,218,148
370630013012,654,314,340,89,421,1,6,2,84,51,97,132,58,69,116,157,122
370630013031,1700,732,968,129,1378,0,14,0,128,51,145,212,609,276,151,269,183
370630013032,2352,853,1499,51,2178,2,9,0,94,18,104,99,1729,153,78,164,129
370630013041,1226,557,669,78,892,15,7,0,144,90,197,380,116,139,168,266,157
370630013042,1555,723,832,118,1086,13,2,0,206,130,304,331,131,165,220,415,293
370630014001,773,345,428,28,612,4,1,0,80,48,124,240,87,54,109,190,93
370630014002,1973,892,1081,90,1457,8,12,0,303,103,381,633,220,214,256,464,186
370630015011,3430,1603,1827,234,2916,1,64,0,164,51,170,0,2767,559,75,27,2
370630015031,1861,927,934,232,1468,0,31,0,78,52,93,7,1381,358,37,55,23
370630015041,923,484,439,238,388,4,162,0,68,63,106,107,67,317,162,159,111
370630015042,2110,1136,974,608,393,1,721,2,235,150,305,257,110,982,405,216,140
370630015051,1569,753,816,292,771,23,80,1,271,131,403,337,108,434,263,288,139
370630015052,1207,601,606,551,95,1,460,0,17,83,67,56,32,756,216,98,49
370630015053,1175,607,568,373,240,24,311,0,108,119,189,133,88,565,185,110,94
370630016011,1401,689,712,877,303,18,23,1,94,85,159,264,91,82,157,382,425
370630016012,1147,550,597,647,287,4,55,3,75,76,119,156,109,105,143,343,291
370630020191,1586,739,847,1000,295,5,117,0,48,121,103,229,94,489,276,341,157
370630020192,2029,920,1109,1501,152,6,175,1,40,154,135,230,98,642,379,334,346
370630020193,1519,653,866,1225,100,5,64,0,14,111,74,278,53,76,180,361,571
370630020201,2621,1261,1360,1680,353,5,279,0,66,238,161,594,192,183,433,891,328
370630020202,1312,644,668,637,404,4,130,0,35,102,91,254,93,65,156,494,250
370630020203,1242,606,636,768,300,2,78,0,17,77,52,295,68,61,159,442,217
370630020204,3228,1600,1628,1836,553,5,485,0,43,306,183,727,181,181,558,1066,515
370630020211,2037,920,1117,838,746,4,189,2,119,139,207,396,200,286,333,503,319
370630020212,1144,463,681,473,430,3,78,1,50,109,116,160,60,275,290,256,103
370630020213,1423,668,755,939,209,0,116,0,42,117,106,172,57,297,328,350,219
370630020221,1317,593,724,493,563,8,60,1,106,86,172,219,78,254,301,290,175
370630020222,1693,759,934,1115,283,7,84,0,54,150,147,270,80,159,365,472,347
370630020223,1514,670,844,658,545,9,91,0,96,115,145,270,70,393,326,300,155
370630020231,1139,544,595,844,176,3,27,0,15,74,60,161,42,207,255,294,180
370630020232,869,387,482,571,181,2,32,0,16,67,54,147,42,95,144,250,191
370630020233,829,406,423,427,257,6,70,1,19,49,50,134,35,170,139,191,160
370630020241,1067,452,615,761,173,2,37,0,8,86,47,128,24,145,291,282,197
370630020242,1639,809,830,1035,283,3,100,0,57,161,144,386,120,121,336,490,186
370630020243,1050,429,621,733,178,6,30,0,29,74,76,144,46,96,219,268,277
370630020244,1137,494,643,690,198,3,126,0,20,100,65,182,59,188,279,318,111
370630020245,1149,560,589,669,213,4,137,0,20,106,94,193,97,138,187,348,186
370630020246,1016,471,545,728,152,3,48,0,17,68,64,200,39,118,216,268,175
370630020251,2614,1199,1415,912,962,14,327,0,178,221,298,568,174,297,503,740,332
370630020252,1665,751,914,611,710,1,59,0,146,138,226,298,130,253,317,462,205
370630020253,1157,555,602,469,471,8,42,0,97,70,148,198,53,126,219,329,232
370630020254,974,440,534,209,532,4,30,0,132,67,175,243,97,121,184,238,91
370630020261,2575,1158,1417,377,1525,14,106,0,394,159,532,570,292,344,372,615,382
370630020262,3016,1341,1675,618,1784,10,95,1,308,200,488,584,213,498,658,688,375
370630020263,1240,496,744,136,953,0,24,1,70,56,108,178,320,297,148,228,69
370630016016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370630016013,821,365,456,409,197,9,23,0,107,76,157,165,72,70,95,237,182
370630016014,1467,654,813,649,633,8,23,0,78,76,141,299,118,126,214,430,280
370630016015,1281,586,695,835,184,18,16,0,127,101,177,246,54,95,143,361,382
370630016031,777,374,403,604,58,6,5,0,45,59,81,150,61,39,78,222,227
370630016032,982,448,534,668,160,3,26,0,29,96,82,184,90,51,124,328,205
370630016033,1286,639,647,869,205,5,9,0,103,95,189,224,101,85,152,339,385
370630016034,1316,626,690,740,291,16,100,0,67,102,131,230,123,98,149,443,273
370630016035,1501,688,813,648,511,9,113,0,107,113,179,326,154,130,199,464,228
370630016036,984,498,486,814,101,8,12,0,25,24,37,141,76,47,117,329,274
370630016041,1401,682,719,1029,220,4,28,2,53,65,71,284,80,73,154,396,414
370630016042,577,297,280,388,144,0,8,0,18,19,25,105,38,37,65,195,137
370630016043,630,284,346,517,53,1,13,0,18,28,26,109,34,28,80,169,210
370630016044,1082,499,583,814,138,6,21,1,11,91,53,198,81,46,86,323,348
370630016045,1105,545,560,865,95,11,24,1,45,64,80,202,86,51,105,325,336
370630016046,1160,554,606,682,315,3,33,0,44,83,94,218,87,79,142,405,229
370630016047,700,302,398,509,82,4,27,0,20,58,50,105,29,42,78,188,258
370630017051,1038,460,578,685,179,3,48,5,52,66,129,203,60,109,105,241,320
370630017052,1219,542,677,488,359,7,62,4,198,101,286,214,84,240,231,296,154
370630017053,803,371,432,387,163,9,12,2,131,99,206,181,44,72,133,210,163
370630017054,1065,486,579,509,281,20,24,2,151,78,206,197,72,80,176,312,228
370630017055,1669,803,866,705,427,7,72,3,287,168,453,354,131,252,332,376,224
370630017061,2077,985,1092,1028,511,5,161,0,174,198,310,305,98,466,396,516,296
370630017062,913,438,475,311,325,3,45,6,109,114,195,146,55,246,213,184,69
370630017063,935,430,505,624,127,8,78,1,11,86,43,163,63,171,132,259,147
370630017064,1327,625,702,862,158,3,200,0,32,72,80,211,44,327,301,279,165
370630017081,676,306,370,45,491,18,9,2,50,61,123,109,53,40,70,185,219
370630017082,1610,746,864,194,1085,11,57,2,138,123,225,394,169,154,269,454,170
370630017083,1403,656,747,193,827,3,8,5,251,116,386,351,126,143,209,281,293
370630017084,1206,539,667,149,836,11,19,0,115,76,185,258,138,121,149,394,146
370630017091,1044,494,550,72,604,14,3,0,258,93,352,280,116,112,148,225,163
370630017092,1091,510,581,30,769,5,0,0,219,68,282,256,130,113,155,275,162
370630017093,941,420,521,70,688,12,3,0,97,71,157,249,115,97,124,260,96
370630017094,813,355,458,77,502,10,11,0,147,66,193,153,61,143,136,209,111
370630022001,1411,686,725,1118,61,5,91,0,32,104,124,96,87,464,359,312,93
370630022002,1766,888,878,1082,428,12,69,0,53,122,145,197,86,351,439,443,250
370630023001,2434,1250,1184,908,1120,12,91,0,157,146,245,332,176,608,617,523,178
370639801001,9,5,4,3,0,0,0,0,2,4,5,0,1,2,2,2,2
370630018093,1392,644,748,403,658,8,42,1,194,86,253,326,126,186,261,356,137
370630018084,4512,2198,2314,2112,1550,27,301,2,144,376,311,940,273,525,999,1367,408
370630018091,1664,837,827,1017,364,9,87,2,73,112,126,277,113,161,315,518,280
370630018092,2550,1187,1363,946,1007,15,206,1,173,202,340,363,147,813,586,492,149
370630018094,732,368,364,308,177,0,5,1,148,93,231,149,83,59,96,239,106
370630018095,978,455,523,301,511,3,31,0,68,64,129,136,41,212,231,276,82
370630018101,1268,624,644,271,321,10,2,0,557,107,689,356,109,101,220,346,136
370630018102,1280,613,667,231,532,30,36,0,354,97,483,323,146,162,227,321,101
370630018103,1002,417,585,121,668,5,9,0,130,69,187,252,80,131,199,274,66
370630018111,1190,556,634,381,617,9,34,0,80,69,151,228,96,114,194,377,181
370630018112,1024,478,546,137,702,8,18,0,120,39,161,210,104,144,138,304,124
370630018113,780,355,425,143,404,4,8,0,162,59,223,145,85,76,108,245,121
370630018114,714,343,371,106,469,13,8,0,76,42,117,138,72,62,89,223,130
370630018115,1521,732,789,353,875,14,10,0,200,69,271,233,166,163,207,519,233
370630018116,1149,537,612,214,719,12,3,0,130,71,228,217,130,141,145,369,147
370630019001,2208,1057,1151,1383,360,7,197,1,66,194,171,275,88,317,534,701,293
370630019002,932,451,481,731,55,6,9,0,70,61,126,137,79,59,100,303,254
370630019003,2441,1034,1407,2041,105,1,161,0,41,92,91,114,29,29,39,361,1869
370630019004,620,306,314,524,23,2,13,0,14,44,47,48,25,32,45,192,278
370630020071,923,394,529,462,312,2,50,0,52,45,79,160,52,122,198,244,147
370630020072,915,445,470,429,337,6,23,0,45,75,105,181,50,68,138,246,232
370630020073,758,357,401,514,98,14,14,0,48,70,95,149,43,70,130,219,147
370630020074,1322,561,761,778,364,14,38,0,58,70,95,234,74,128,211,314,361
370630020075,1162,532,630,694,312,9,27,0,51,69,101,189,84,102,133,351,303
370630020081,1057,522,535,908,13,4,30,0,10,92,60,199,109,46,67,330,306
370630020082,807,387,420,637,66,4,47,0,19,34,35,147,59,45,105,250,201
370630020083,1314,622,692,1062,73,2,46,0,19,112,60,286,105,57,137,414,315
370630020091,1940,909,1031,113,1236,12,19,0,442,118,573,437,179,206,266,506,346
370630020092,1053,539,514,49,790,6,2,0,157,49,198,216,81,82,129,291,254
370630020093,1807,877,930,141,1240,15,10,0,329,72,423,378,204,160,234,459,372
370630020131,1020,522,498,629,170,9,39,0,97,76,146,198,55,74,166,320,207
370630020132,883,423,460,455,235,0,57,2,35,99,79,175,49,96,158,252,153
370630020133,1646,790,856,807,456,17,121,0,114,131,220,249,115,183,280,459,360
370630020134,1256,625,631,808,213,5,85,0,35,110,93,239,61,104,258,399,195
370630020151,2111,1061,1050,436,716,59,84,0,641,175,909,553,184,322,367,516,169
370630020152,847,354,493,573,59,6,120,1,27,61,69,286,24,191,83,42,221
370630020153,1614,735,879,734,449,10,142,1,138,140,270,275,89,466,325,288,171
370630020154,756,359,397,486,110,0,15,0,72,73,116,153,40,68,201,193,101
370630021006,1211,573,638,916,194,4,4,0,25,68,55,203,105,64,105,386,348
370630021007,1403,669,734,986,275,6,48,0,13,75,47,247,75,63,123,416,479
370630021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370630020291,1968,847,1121,1252,268,8,202,0,81,157,189,354,65,444,368,335,402
370630020292,1349,658,691,966,129,5,98,1,20,130,90,290,132,85,138,451,253
370630020293,457,215,242,244,106,3,48,0,20,36,54,39,19,197,103,70,29
370630020301,1715,809,906,1228,114,2,158,0,27,186,90,346,91,165,231,453,429
370630020302,2639,1265,1374,2036,158,10,181,0,55,199,142,577,203,124,253,868,614
370630020311,1237,542,695,434,481,9,32,0,189,92,275,275,66,221,202,276,197
370630020312,964,419,545,334,326,5,159,0,80,60,112,146,65,318,180,174,81
370630020321,1285,684,601,150,247,21,66,0,603,198,857,365,129,214,251,264,62
370630020322,1404,671,733,463,497,13,206,1,102,122,207,212,69,459,341,256,67
370630020323,631,256,375,207,310,3,16,0,48,47,75,110,38,200,117,120,46
370630020331,925,440,485,627,173,0,43,0,26,56,58,133,64,124,171,241,192
370630020332,1617,723,894,1359,57,0,90,2,12,97,63,367,78,166,111,299,596
370630020333,1751,795,956,1193,162,0,177,0,81,138,140,246,88,359,305,371,382
370630020341,1651,715,936,1042,239,3,157,0,65,145,134,252,82,248,297,458,314
370630020342,1784,870,914,1299,201,5,112,0,30,137,104,352,121,96,235,496,484
370630020343,2617,1152,1465,1118,899,2,254,0,139,205,255,314,169,956,598,437,143
370630020351,1999,888,1111,1027,515,4,198,1,71,183,166,323,78,374,496,497,231
